"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cdkn2a",22.2183700599786,2.91401699300688,0.936889710058998,3.11030952920102,0.00186891385976459,0.158890967856622
"Vnn3",1118.02495058175,0.764220645973424,0.245815213732586,3.10892330205727,0.00187770455028444,0.158890967856622
"Upp2",9744.37030659635,0.916518493029704,0.295157537538322,3.10518410159424,0.0019016062463943,0.16007977557082
"Col5a2",425.379039705948,-1.42467554786947,0.459486116316772,-3.1005845384179,0.00193139072237259,0.161748995187565
"Tlcd2",1414.93252318972,0.739131295893235,0.2387244367518,3.09616939912064,0.00196038331514131,0.163335116518466
"Gm16062",12.2099894085971,3.73218881867525,1.20885804381722,3.08736731973102,0.00201937896735747,0.166194637160479
"Tomm40l",2745.14238615834,0.802521947531668,0.259945237355775,3.08727313373814,0.00202001896360513,0.166194637160479
"Fam214a",2382.55733834594,0.722090145659173,0.234042865386381,3.08529014318414,0.00203353672166934,0.166194637160479
"Chil3",12.3498623378309,-3.93574617505139,1.27613489328481,-3.08411453660723,0.00204158979987294,0.166194637160479
"Slc25a32",579.08947687157,0.778094600610516,0.252341830323847,3.0834943204301,0.00204585015277256,0.166194637160479
"Mast2",323.22493467504,-0.940422174920025,0.305505049471682,-3.07825411248135,0.0020821728152032,0.167663822156212
"Dph1",141.590452510851,-1.09851622962218,0.357230330046479,-3.07509227864064,0.00210437433321118,0.167663822156212
"Lncbate1",22.0327828222293,2.35301572780851,0.765510684124491,3.07378561345572,0.00211361260971121,0.167663822156212
"Prss53",224.453444234729,1.06398162325223,0.346220509915036,3.07313285256652,0.00211824162358083,0.167663822156212
"Muc6",23.9036925449956,-2.47873196234044,0.806619222339098,-3.0729889564898,0.00211926330359269,0.167663822156212
"Tmsb15b1",8.03410160210742,5.40090778884257,1.75928637872084,3.06994236650063,0.00214100081625053,0.167663822156212
"Efnb2",92.6399396486346,1.27443661615886,0.415160057312953,3.06974766408749,0.00214239694992924,0.167663822156212
"Gm28876",33.4425406782718,-2.03587207436568,0.663661242192892,-3.06763744050907,0.00215758216711389,0.167663822156212
"Comt",7583.15764382388,-0.61610595623074,0.200883905949656,-3.06697519305078,0.00216236801913884,0.167663822156212
"Ces1b",5693.12846851164,0.942244221272886,0.307397857024918,3.06522703311009,0.00217504820682397,0.167663822156212
"Tifa",480.610983177851,-1.16053550582969,0.378711815974057,-3.06442909061277,0.0021808586676399,0.167663822156212
"Keg1",1310.46265023359,-1.23608537411029,0.403647083446833,-3.0622923459649,0.00219648815826592,0.167663822156212
"Serpina4-ps1",374.146712746363,-3.80082792542784,1.24125936147829,-3.06207392538912,0.00219809159348022,0.167663822156212
"Tmem258",512.474331087667,1.13187571323792,0.370112641018873,3.05819252788019,0.00222676461792491,0.168834352482884
"Hba-a1",2130.66409831504,-1.1961681934294,0.391263846166036,-3.05719070430493,0.00223422082746476,0.168834352482884
"Dmd",642.690826996633,0.908325193618163,0.297341761037667,3.05481877301149,0.00225196554583246,0.169387426958982
"TrnK",1112.80658549129,1.23554608609372,0.404920459717261,3.05133034511631,0.00227829760532418,0.169388067118617
"Etfb",5266.44034557603,0.68219291241998,0.223674625864033,3.04993429533966,0.00228891435046144,0.169388067118617
"Nek2",33.9927068143373,-2.08819727812803,0.684788991465709,-3.04940252275156,0.00229297030466244,0.169388067118617
"Scamp1",844.626243123844,-0.736148607870666,0.241414820786562,-3.04930992004632,0.00229367727987294,0.169388067118617
"Vsig2",18.3538976194924,2.59690955093602,0.852756365427896,3.04531242007551,0.00232438720567386,0.170323531298181
"Uqcr11",2253.32271916693,1.1293231792201,0.370885888888369,3.044934339791,0.00232731113117475,0.170323531298181
"Gm36419",357.385595517749,1.04159477326675,0.342358091779219,3.04241318747171,0.00234689501926242,0.170986562232989
"Cyp2a12",8601.45354658019,0.816699858871879,0.269080684672249,3.0351485832833,0.00240417213751601,0.17291110593373
"Mpv17l",392.398217908462,0.867661985778944,0.286033581992074,3.03342698341969,0.002417932164252,0.17291110593373
"Zfp951",24.3040543168674,-2.3977608446172,0.790611139503586,-3.03279415734355,0.00242300816928431,0.17291110593373
"9130409I23Rik",460.536263702858,1.10764195595762,0.365258172511314,3.03249054864971,0.00242544692642071,0.17291110593373
"Cspg5",18.1486200387431,-4.13491824256471,1.36359895059251,-3.03235657431974,0.00242652379841758,0.17291110593373
"Camk2n2",30.8485571996309,-1.95243416963221,0.644440238768753,-3.02965900044117,0.0024482999435497,0.173701000798481
"Slc11a2",403.861535320081,-0.936202677006694,0.309360962863629,-3.02624697163031,0.00247609964605711,0.174909525867347
"Pkdrej",39.256191666175,-2.04795015788456,0.677353511793374,-3.02345838949349,0.00249903393144303,0.175765386511493
"Slc29a1",4732.23664923968,0.64718078028539,0.214145748727038,3.02215096088749,0.00250985346070042,0.175765470586206
"Fcgr2b",846.026350980194,0.926646801321413,0.307089523960109,3.01751355556429,0.00254857642358028,0.177711249587592
"Kmt5a",522.436771200757,-0.836415326475917,0.27770066110875,-3.01193134771966,0.00259591298981269,0.17979904691439
"Gm27252",58.9037377894242,1.49084014061202,0.495069121883843,3.01137775456294,0.00260065095247625,0.17979904691439
"Gm35071",5.12403879299994,5.75742197589511,1.91973786345093,2.9990667400525,0.00270807978618014,0.186161339706446
"Gm41857",47.2833005538504,1.98550974621965,0.66241953570671,2.99735988930548,0.00272329009424455,0.186161339706446
"Apoc1",77397.6756834067,0.917558574845331,0.306165229736645,2.99693918749229,0.00272705107713019,0.186161339706446
"Apbb3",588.988203173832,0.827084058803846,0.276108634768027,2.99550233008367,0.00273993207984958,0.186258060674963
"Snai2",143.392033433932,1.00748902120279,0.337735042985939,2.98307517128074,0.00285367896530087,0.192473421186271
